passport_id,prisoner_id,current_prison_id,current_prison_name,prison_crowding_status,prison_occupancy_rate_pct,skill_india_digital_id,candidate_alias_or_name,gender,age,education_baseline,primary_trade_vocational,nsqf_level,certifying_agency,course_completion_status,workshop_production_hours,specific_machinery_skills,conduct_grade,soft_skills_completed,pwa_accumulated_savings_inr,target_job_domain,expected_minimum_wage_inr,preferred_work_districts,preferred_ngo_sector,rehabilitation_readiness_flag,consent_to_share_profile,verification_hash_qr
SKL-2026-0001,UTP-2026-0001,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99001,Sanjay K.,Male,40,10th Standard,Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Certified,479,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,C,Digital Ethics|Professional Email Writing,4638,Garment & Textile Manufacturing,15000,Thane|Mumbai City,Vocational Livelihood & Rehabilitation,False,False,15688083a2add3...qr
SKL-2026-0002,UTP-2026-0002,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99002,Raju R.,Male,20,Illiterate (Adult Literacy Enrolled),Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,582,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,B,Digital Ethics|Professional Email Writing,6656,Logistics & Supply Chain,13500,Mumbai Suburban|Mumbai City,Youth Livelihood & Logistics,False,False,44b4bfb3a1b66f...qr
SKL-2026-0003,UTP-2026-0003,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99003,Vijay S.,Male,36,8th Standard,Data Entry & Office Automation,4,NIELIT / State Skill Development Mission,Certified,213,Typing 40+ WPM|MS Excel Fundamentals|Tally Prime Basics,A,Digital Ethics|Professional Email Writing,2738,IT & Office Administration,17500,Navi Mumbai|Thane,Youth Employment & Digital Literacy,True,True,3a624e955cf7a6...qr
SKL-2026-0004,UTP-2026-0004,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99004,Mukesh Y.,Male,25,8th Standard,Data Entry & Office Automation,4,NIELIT / State Skill Development Mission,In_Training,527,Typing 40+ WPM|MS Excel Fundamentals|Tally Prime Basics,A,Team Coordination|Basic Numeracy,5895,IT & Office Administration,17500,Mumbai City|Mumbai Suburban,Youth Employment & Digital Literacy,False,True,30e6077282fc79...qr
SKL-2026-0005,UTP-2026-0005,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99005,Satish M.,Male,42,Illiterate (Adult Literacy Enrolled),Domestic Electrician,3,Power Sector Skill Council / DGT,Certified,551,Single Phase Wiring|MCB Installation|Multimeter Testing,A,Anger Management Module|Stress Resilience,4705,Electrical & Facility Maintenance,15500,Mumbai City|Navi Mumbai,Technical Livelihoods & Vocational Training,True,True,d8ebef33d4e31...qr
SKL-2026-0006,UTP-2026-0006,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99006,Rahul Y.,Male,26,Illiterate (Adult Literacy Enrolled),Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,491,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Workplace Safety & Hazard Control,5422,Food Processing & Bakery,14500,Mumbai City|Mumbai Suburban,Skill Training & Micro-enterprise,True,True,4ffa7751611adf...qr
SKL-2026-0007,UTP-2026-0007,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99007,Rakesh S.,M,25,9th Standard,Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Certified,611,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,A,Financial Literacy & Bank Account Operations,6883,Garment & Textile Manufacturing,15000,Mumbai Suburban|Mumbai City,Vocational Livelihood & Rehabilitation,True,True,13ca7fa215284c...qr
SKL-2026-0008,UTP-2026-0008,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99008,Pravin T.,Male,57,Illiterate (Adult Literacy Enrolled),Wood Furniture Making & Carpentry,3,Furniture & Fittings Skill Council (FFSC),Certified,241,Circular Saw|Wood Surface Planer|Laminate Press,A,Workplace Safety & Hazard Control,2257,Furniture Manufacturing & Carpentry,16000,Thane|Navi Mumbai,Vocational Training & Micro-enterprise,True,True,5d3ee6f4d3dbc2...qr
SKL-2026-0009,UTP-2026-0009,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99009,Mamta V.,Female,53,10th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,394,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Customer Service & Professional Etiquette,4564,Logistics & Supply Chain,13500,Mumbai City|Navi Mumbai,Youth Livelihood & Logistics,True,True,1c9d9df4f5f4f1...qr
SKL-2026-0010,UTP-2026-0010,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99010,Manju T.,Female,38,10th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,582,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Anger Management Module|Stress Resilience,5801,Logistics & Supply Chain,13500,Mumbai City|Mumbai Suburban,Youth Livelihood & Logistics,True,True,45c8fa126021d4...qr
SKL-2026-0011,UTP-2026-0011,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99011,Rohit M.,Male,19,Illiterate (Adult Literacy Enrolled),CNC Machine Operator,4,Capital Goods Skill Council / DGT,In_Training,347,3-Axis CNC Lathe|G-Code Programming|Vernier Caliper,A,Customer Service & Professional Etiquette,2952,Industrial Tooling & Precision Machining,21000,Mumbai Suburban|Navi Mumbai,Technical Livelihoods & Industry Linkages,False,True,5e8f25833cd66a...qr
SKL-2026-0012,UTP-2026-0012,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99012,Tushar K.,Male,37,8th Standard,Domestic Electrician,3,Power Sector Skill Council / DGT,In_Training,681,Single Phase Wiring|MCB Installation|Multimeter Testing,A,Food Safety & Hygiene|Time Management,6851,Electrical & Facility Maintenance,15500,Thane|Mumbai City,Technical Livelihoods & Vocational Training,False,True,279994931453b3...qr
SKL-2026-0013,UTP-2026-0013,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99013,Sachin D.,M,23,8th Standard,Bakery & Confectionery,3,FICSI / National Council for Vocational Training,In_Training,581,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,C,Team Coordination|Basic Numeracy,7974,Food Processing & Bakery,14500,Navi Mumbai|Thane,Skill Training & Micro-enterprise,False,True,4a25fa24028d8e...qr
SKL-2026-0014,UTP-2026-0014,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99014,Vijay D.,Male,22,5th Standard,Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,499,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Customer Service & Professional Etiquette,5310,Food Processing & Bakery,14500,Mumbai City|Thane,Skill Training & Micro-enterprise,True,True,a4a9be368fd6b...qr
SKL-2026-0015,UTP-2026-0015,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99015,Ashok G.,Male,40,Illiterate (Adult Literacy Enrolled),Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Certified,651,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,A,Workplace Safety & Hazard Control,6890,Garment & Textile Manufacturing,15000,Mumbai Suburban|Navi Mumbai,Vocational Livelihood & Rehabilitation,True,True,3a109d32d2751a...qr
SKL-2026-0016,UTP-2026-0016,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99016,Ganesh Y.,Male,32,10th Standard,Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,422,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Workplace Safety & Hazard Control,4923,Food Processing & Bakery,14500,Navi Mumbai|Mumbai Suburban,Skill Training & Micro-enterprise,True,True,22ec46c1343a8a...qr
SKL-2026-0017,UTP-2026-0017,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99017,Rahul P.,Male,41,Graduate (B.A./B.Com),CNC Machine Operator,4,Capital Goods Skill Council / DGT,Certified,632,3-Axis CNC Lathe|G-Code Programming|Vernier Caliper,A,Financial Literacy & Bank Account Operations,6987,Industrial Tooling & Precision Machining,21000,Thane|Mumbai Suburban,Technical Livelihoods & Industry Linkages,True,True,14a12d12d3d53b...qr
SKL-2026-0018,UTP-2026-0018,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99018,Rahul S.,Male,19,8th Standard,Organic Farming & Horticulture,3,Agriculture Skill Council of India (ASCI),Certified,413,Drip Irrigation Setup|Composting Unit|Power Weeder,A,Anger Management Module|Stress Resilience,4206,Agriculture & Rural Enterprise,14000,Thane|Mumbai Suburban,Rural Development & Agro Livelihoods,True,True,3589a60400050a...qr
SKL-2026-0019,UTP-2026-0019,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99019,Vijay G.,Male,22,9th Standard,Data Entry & Office Automation,4,NIELIT / State Skill Development Mission,In_Training,276,Typing 40+ WPM|MS Excel Fundamentals|Tally Prime Basics,A,Workplace Safety & Hazard Control,3058,IT & Office Administration,17500,Navi Mumbai|Mumbai Suburban,Youth Employment & Digital Literacy,False,True,101ceb229da9e3...qr
SKL-2026-0020,UTP-2026-0020,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99020,Subhash P.,Male,24,Illiterate (Adult Literacy Enrolled),Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,248,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Financial Literacy & Bank Account Operations,3048,Food Processing & Bakery,14500,Navi Mumbai|Mumbai Suburban,Skill Training & Micro-enterprise,True,False,2e6a06f2db9859...qr
SKL-2026-0021,UTP-2026-0021,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99021,Rohit K.,Male,40,8th Standard,Wood Furniture Making & Carpentry,3,Furniture & Fittings Skill Council (FFSC),Certified,254,Circular Saw|Wood Surface Planer|Laminate Press,A,Customer Service & Professional Etiquette,3185,Furniture Manufacturing & Carpentry,16000,Thane|Mumbai City,Vocational Training & Micro-enterprise,True,True,532987d54b0401...qr
SKL-2026-0022,UTP-2026-0022,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99022,Suraj T.,Male,24,Illiterate (Adult Literacy Enrolled),CNC Machine Operator,4,Capital Goods Skill Council / DGT,Certified,388,3-Axis CNC Lathe|G-Code Programming|Vernier Caliper,B,Customer Service & Professional Etiquette,5143,Industrial Tooling & Precision Machining,21000,Mumbai City|Thane,Technical Livelihoods & Industry Linkages,False,False,4efd1cf44ab727...qr
SKL-2026-0023,UTP-2026-0023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99023,Sachin M.,Male,41,9th Standard,Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,673,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Workplace Safety & Hazard Control,7258,Food Processing & Bakery,14500,Navi Mumbai|Mumbai Suburban,Skill Training & Micro-enterprise,True,True,501942a1c0d08c...qr
SKL-2026-0024,UTP-2026-0024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99024,Surinder M.,Male,25,12th Standard,Domestic Electrician,3,Power Sector Skill Council / DGT,Certified,426,Single Phase Wiring|MCB Installation|Multimeter Testing,A,Customer Service & Professional Etiquette,4525,Electrical & Facility Maintenance,15500,Mumbai Suburban|Navi Mumbai,Technical Livelihoods & Vocational Training,True,True,19b23e749d47b8...qr
SKL-2026-0025,UTP-2026-0025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99025,Sunil G.,Male,26,9th Standard,Domestic Electrician,3,Power Sector Skill Council / DGT,Assessment_Pending,693,Single Phase Wiring|MCB Installation|Multimeter Testing,A,Customer Service & Professional Etiquette,9619,Electrical & Facility Maintenance,15500,Mumbai City|Mumbai Suburban,Technical Livelihoods & Vocational Training,False,True,2fde4f8d3df32...qr
SKL-2026-0026,UTP-2026-0026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99026,Sunita V.,Female,23,Illiterate (Adult Literacy Enrolled),Data Entry & Office Automation,4,NIELIT / State Skill Development Mission,Assessment_Pending,690,Typing 40+ WPM|MS Excel Fundamentals|Tally Prime Basics,A,Customer Service & Professional Etiquette,8484,IT & Office Administration,17500,Navi Mumbai|Mumbai Suburban,Youth Employment & Digital Literacy,False,True,3ac708d47632b0...qr
SKL-2026-0027,UTP-2026-0027,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99027,Ashok T.,Male,31,5th Standard,Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Certified,547,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,A,Food Safety & Hygiene|Time Management,7386,Garment & Textile Manufacturing,15000,Thane|Navi Mumbai,Vocational Livelihood & Rehabilitation,True,True,233d0cd1a7404b...qr
SKL-2026-0028,UTP-2026-0028,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99028,Vinod M.,Male,26,Illiterate (Adult Literacy Enrolled),Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Certified,452,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,C,Customer Service & Professional Etiquette,5886,Garment & Textile Manufacturing,15000,Thane|Mumbai City,Vocational Livelihood & Rehabilitation,False,False,277748445e2c2a...qr
SKL-2026-0029,UTP-2026-0029,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99029,Mamta G.,Female,54,9th Standard,Organic Farming & Horticulture,3,Agriculture Skill Council of India (ASCI),Assessment_Pending,404,Drip Irrigation Setup|Composting Unit|Power Weeder,A,Anger Management Module|Stress Resilience,4419,Agriculture & Rural Enterprise,14000,Mumbai Suburban|Navi Mumbai,Rural Development & Agro Livelihoods,False,True,388e3cf4f3a76a...qr
SKL-2026-0030,UTP-2026-0030,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99030,Raju S.,Male,25,Illiterate (Adult Literacy Enrolled),CNC Machine Operator,4,Capital Goods Skill Council / DGT,Certified,579,3-Axis CNC Lathe|G-Code Programming|Vernier Caliper,A,Workplace Communication|Conflict Management,6062,Industrial Tooling & Precision Machining,21000,Mumbai Suburban|Thane,Technical Livelihoods & Industry Linkages,True,True,1fd71b12b80f80...qr
SKL-2026-0031,UTP-2026-0031,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99031,Ganesh M.,Male,23,9th Standard,Wood Furniture Making & Carpentry,3,Furniture & Fittings Skill Council (FFSC),Certified,598,Circular Saw|Wood Surface Planer|Laminate Press,A,Workplace Safety & Hazard Control,6575,Furniture Manufacturing & Carpentry,16000,Navi Mumbai|Mumbai City,Vocational Training & Micro-enterprise,True,True,182e86c5d570a5...qr
SKL-2026-0032,UTP-2026-0032,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99032,Vijay K.,Male,38,10th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,550,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Team Coordination|Basic Numeracy,6701,Logistics & Supply Chain,13500,Navi Mumbai|Mumbai Suburban,Youth Livelihood & Logistics,True,True,3fac337101f30f...qr
SKL-2026-0033,UTP-2026-0033,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99033,Surinder V.,Male,24,Illiterate (Adult Literacy Enrolled),Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,In_Training,542,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Digital Ethics|Professional Email Writing,6815,Logistics & Supply Chain,13500,Mumbai City|Navi Mumbai,Youth Livelihood & Logistics,False,True,2512e1639b08b6...qr
SKL-2026-0034,UTP-2026-0034,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99034,Sunil K.,Male,39,Illiterate (Adult Literacy Enrolled),Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Assessment_Pending,223,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,A,Anger Management Module|Stress Resilience,2836,Garment & Textile Manufacturing,15000,Thane|Mumbai Suburban,Vocational Livelihood & Rehabilitation,False,True,a86b324933ba8...qr
SKL-2026-0035,UTP-2026-0035,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99035,Nitin D.,Male,41,Illiterate (Adult Literacy Enrolled),Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,524,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Workplace Safety & Hazard Control,6603,Food Processing & Bakery,14500,Mumbai Suburban|Navi Mumbai,Skill Training & Micro-enterprise,True,True,135034a4ae0ec2...qr
SKL-2026-0036,UTP-2026-0036,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99036,Mukesh M.,Male,26,9th Standard,Organic Farming & Horticulture,3,Agriculture Skill Council of India (ASCI),In_Training,552,Drip Irrigation Setup|Composting Unit|Power Weeder,A,Food Safety & Hygiene|Time Management,5634,Agriculture & Rural Enterprise,14000,Navi Mumbai|Mumbai City,Rural Development & Agro Livelihoods,False,True,2e4858b135bba4...qr
SKL-2026-0037,UTP-2026-0037,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99037,Karan R.,Male,42,5th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,472,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Workplace Communication|Conflict Management,6060,Logistics & Supply Chain,13500,Thane|Mumbai City,Youth Livelihood & Logistics,True,True,50f4bea3b04579...qr
SKL-2026-0038,UTP-2026-0038,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99038,Surinder G.,Male,42,Illiterate (Adult Literacy Enrolled),Wood Furniture Making & Carpentry,3,Furniture & Fittings Skill Council (FFSC),Certified,678,Circular Saw|Wood Surface Planer|Laminate Press,A,Anger Management Module|Stress Resilience,9491,Furniture Manufacturing & Carpentry,16000,Mumbai Suburban|Mumbai City,Vocational Training & Micro-enterprise,True,True,167b9634a8561f...qr
SKL-2026-0039,UTP-2026-0039,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99039,Mukesh S.,Male,39,Graduate (B.A./B.Com),Leather Goods Fabrication,3,Leather Sector Skill Council (LSSC),In_Training,629,Leather Skiving Machine|Heavy Duty Stitcher|Edge Burnisher,A,Workplace Safety & Hazard Control,5527,Footwear & Leather Craft,15000,Navi Mumbai|Mumbai Suburban,Artisan Cooperatives & Reintegration,False,True,16ab1104b92b99...qr
SKL-2026-0040,UTP-2026-0040,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99040,Vikram K.,Male,53,10th Standard,Organic Farming & Horticulture,3,Agriculture Skill Council of India (ASCI),Certified,596,Drip Irrigation Setup|Composting Unit|Power Weeder,A,Workplace Communication|Conflict Management,8035,Agriculture & Rural Enterprise,14000,Mumbai City|Mumbai Suburban,Rural Development & Agro Livelihoods,True,True,1cacdd74fc89fa...qr
SKL-2026-0041,UTP-2026-0041,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99041,Surinder M.,Male,20,8th Standard,Bakery & Confectionery,3,FICSI / National Council for Vocational Training,Certified,679,Commercial Dough Mixer|Rotary Deck Oven|Bread Slicer,A,Workplace Communication|Conflict Management,7229,Food Processing & Bakery,14500,Navi Mumbai|Mumbai City,Skill Training & Micro-enterprise,True,True,3951c762a01049...qr
SKL-2026-0042,UTP-2026-0042,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99042,Raju A.,Male,34,5th Standard,Garment Tailoring,3,Apparel Sector Skill Council / PMKVY,Certified,467,Single Needle Lockstitch|Overlock Machine|Pattern Cutting,B,Financial Literacy & Bank Account Operations,4620,Garment & Textile Manufacturing,15000,Mumbai Suburban|Navi Mumbai,Vocational Livelihood & Rehabilitation,False,True,fa7d945d78696...qr
SKL-2026-0043,UTP-2026-0043,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99043,Tushar A.,Male,41,Illiterate (Adult Literacy Enrolled),Leather Goods Fabrication,3,Leather Sector Skill Council (LSSC),Certified,490,Leather Skiving Machine|Heavy Duty Stitcher|Edge Burnisher,A,Team Coordination|Basic Numeracy,5822,Footwear & Leather Craft,15000,Navi Mumbai|Mumbai Suburban,Artisan Cooperatives & Reintegration,True,True,10e0ea513245ae...qr
SKL-2026-0044,UTP-2026-0044,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99044,Kishore M.,Male,19,5th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,386,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Digital Ethics|Professional Email Writing,4340,Logistics & Supply Chain,13500,Navi Mumbai|Thane,Youth Livelihood & Logistics,True,True,2ada94d42a8e23...qr
SKL-2026-0045,UTP-2026-0045,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99045,Harish V.,Male,21,10th Standard,Domestic Electrician,3,Power Sector Skill Council / DGT,Certified,511,Single Phase Wiring|MCB Installation|Multimeter Testing,A,Team Coordination|Basic Numeracy,5657,Electrical & Facility Maintenance,15500,Mumbai Suburban|Thane,Technical Livelihoods & Vocational Training,True,True,11f3d7131203e9...qr
SKL-2026-0046,UTP-2026-0046,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99046,Subhash M.,Male,34,5th Standard,Domestic Electrician,3,Power Sector Skill Council / DGT,Assessment_Pending,661,Single Phase Wiring|MCB Installation|Multimeter Testing,B,Workplace Safety & Hazard Control,6332,Electrical & Facility Maintenance,15500,Thane|Mumbai City,Technical Livelihoods & Vocational Training,False,True,582efdf4dd26a1...qr
SKL-2026-0047,UTP-2026-0047,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99047,Mahesh T.,Male,40,Illiterate (Adult Literacy Enrolled),Organic Farming & Horticulture,3,Agriculture Skill Council of India (ASCI),In_Training,471,Drip Irrigation Setup|Composting Unit|Power Weeder,A,Workplace Communication|Conflict Management,4413,Agriculture & Rural Enterprise,14000,Navi Mumbai|Mumbai Suburban,Rural Development & Agro Livelihoods,False,True,3514d615730732...qr
SKL-2026-0048,UTP-2026-0048,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99048,Deepak K.,Male,25,Graduate (B.A./B.Com),Organic Farming & Horticulture,3,Agriculture Skill Council of India (ASCI),Certified,655,Drip Irrigation Setup|Composting Unit|Power Weeder,A,Food Safety & Hygiene|Time Management,8972,Agriculture & Rural Enterprise,14000,Navi Mumbai|Mumbai City,Rural Development & Agro Livelihoods,True,True,36b5129fc3d60...qr
SKL-2026-0049,UTP-2026-0049,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99049,Manish R.,Male,24,8th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Certified,313,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Customer Service & Professional Etiquette,3521,Logistics & Supply Chain,13500,Mumbai City|Navi Mumbai,Youth Livelihood & Logistics,True,True,342a7be462d0df...qr
SKL-2026-0050,UTP-2026-0050,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99050,Vicky R.,Male,55,9th Standard,Screen Printing & Packaging,2,Media & Entertainment Skill Council,In_Training,549,Manual Screen Press|UV Exposure Unit|Ink Mixing,A,Customer Service & Professional Etiquette,5112,Commercial Printing & Signage,13000,Mumbai Suburban|Mumbai City,Community Reintegration Support,False,True,179a76721f506f...qr
SKL-2026-0051,UTP-2026-0051,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99051,Neeta B.,Female,25,Illiterate (Adult Literacy Enrolled),Wood Furniture Making & Carpentry,3,Furniture & Fittings Skill Council (FFSC),Assessment_Pending,415,Circular Saw|Wood Surface Planer|Laminate Press,A,Anger Management Module|Stress Resilience,5102,Furniture Manufacturing & Carpentry,16000,Navi Mumbai|Mumbai Suburban,Vocational Training & Micro-enterprise,False,True,514776a2c8a101...qr
SKL-2026-0052,UTP-2026-0052,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99052,Satish T.,Male,22,Illiterate (Adult Literacy Enrolled),CNC Machine Operator,4,Capital Goods Skill Council / DGT,Certified,274,3-Axis CNC Lathe|G-Code Programming|Vernier Caliper,A,Financial Literacy & Bank Account Operations,2480,Industrial Tooling & Precision Machining,21000,Mumbai Suburban|Mumbai City,Technical Livelihoods & Industry Linkages,True,True,1dc0d1c3d9ef31...qr
SKL-2026-0053,UTP-2026-0053,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99053,Subhash C.,Male,22,5th Standard,Warehouse Packaging & Inventory,2,Logistics Sector Skill Council,Assessment_Pending,532,Handheld Barcode Scanner|Shrink Wrap Machine|Inventory Tagging,A,Digital Ethics|Professional Email Writing,7012,Logistics & Supply Chain,13500,Navi Mumbai|Mumbai Suburban,Youth Livelihood & Logistics,False,True,17f49d833dd434...qr
SKL-2026-0054,UTP-2026-0054,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Overcrowded,162.9,SID-MA-99054,Rohit C.,Male,41,Illiterate (Adult Literacy Enrolled),Screen Printing & Packaging,2,Media & Entertainment Skill Council,Certified,591,Manual Screen Press|UV Exposure Unit|Ink Mixing,A,Food Safety & Hygiene|Time Management,6536,Commercial Printing & Signage,13000,Mumbai Suburban|Navi Mumbai,Community Reintegration Support,True,True,31578811890e2a...qr
