prisoner_id,case_cnr,prison_id,prison_name,prison_state,prison_district,prison_capacity,prison_occupancy,occupancy_rate_pct,crowding_status,overcrowding_level,overcrowding_gap,available_beds,ward_name,ward_capacity,ward_occupancy,ward_occupancy_rate_pct,transfer_candidate_flag,decongestion_priority_score,gender,age,primary_offence_section,offence_category_name,charges_framed_flag,max_sentence_months,death_or_life_flag,prior_conviction_flag,pending_case_count,custody_start_date,accused_delay_days,net_custody_days,threshold_type,statutory_threshold_days,sec479_eligibility,dlsa_unit_id,pro_bono_lawyer_id,pro_bono_lawyer_name,pro_bono_assigned_date,legal_aid_status,bail_status,last_hearing_date,next_hearing_date,release_order_date,actual_release_date,days_post_bail_order,surety_type,antil_7day_breach_flag,personal_bond_petition_status,medical_needs,security_risk
UTP-2026-0001,MAMU01-542417-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Ward-HS (High Security),50,81,162.0,False,0.62,Male,40,Sec 103(1) BNS / 302 IPC,Murder (Life/Death Excluded from Sec 479),True,,True,True,1,2025-10-03,0,323,Not_Applicable,,Excluded_Life_Or_Death,DLSA-MH-MUM,,Private Counsel Engaged,,Private_Counsel,Pending_Trial,2026-08-06,2026-09-22,,,,,False,Barred_By_Statute,,High
UTP-2026-0002,MAMU01-407419-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Ward-HS (High Security),50,84,168.0,False,0.54,Male,20,Sec 103(1) BNS / 302 IPC,Murder (Life/Death Excluded from Sec 479),True,,True,False,1,2026-07-01,0,52,Not_Applicable,,Excluded_Life_Or_Death,DLSA-MH-MUM,,Private Counsel Engaged,,Private_Counsel,Rejected_High_Court,2026-07-27,2026-09-11,,,,,False,Barred_By_Statute,Tuberculosis (Isolation / Level 2 Inpatient),High
UTP-2026-0003,MAMU01-380746-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Barrack-04 (General),100,166,166.0,True,0.82,Male,36,Sec 303(2) BNS / 379 IPC,Theft,True,36.0,False,False,1,2025-05-06,0,473,1/3_first_timer,365.0,Eligible,DLSA-MH-MUM,PBL-MH-043,Adv. Tanmay B. Sawant,2026-07-08,Assigned,Released_On_Personal_Bond,2026-08-05,2026-09-29,2026-06-12,2026-06-17,5.0,Personal Recognizance Bond,False,Order_Modified_And_Executed,,Low
UTP-2026-0004,MAMU01-379786-2025,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Barrack-04 (General),100,164,164.0,True,0.69,Male,25,Sec 115(2) BNS / 323 IPC,Voluntarily Causing Hurt (Assault),True,12.0,False,False,1,2026-07-05,0,48,1/3_first_timer,122.0,Ineligible_Under_Time,DLSA-MH-MUM,PBL-MH-044,Adv. Priyanka S. Raut,2026-07-24,Assigned,Not_Applied,2026-07-11,2026-09-26,,,,,False,Not_Applicable,,Low
UTP-2026-0005,MAMU01-791798-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Barrack-04 (General),100,158,158.0,True,0.71,Male,42,Sec 318(2) BNS / 420 IPC,Cheating & Dishonesty,True,36.0,False,False,2,2026-04-27,0,117,1/3_first_timer,365.0,Blocked_Multiple_FIRs,DLSA-MH-MUM,PBL-MH-043,Adv. Tanmay B. Sawant,2026-05-19,Assigned,Pending_Hearing,2026-07-10,2026-09-17,,,,,False,Multi_Case_Verification_Pending,Chronic Kidney Disease (Requires Dialysis / Level 3),Low
UTP-2026-0006,MAMU01-922733-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Barrack-04 (General),100,158,158.0,True,0.72,Male,26,Sec 318(2) BNS / 420 IPC,Cheating & Dishonesty,False,36.0,False,True,1,2026-03-31,0,144,1/2_repeat_offender,547.0,Ineligible_Under_Time,DLSA-MH-MUM,,Private Counsel Engaged,,Private_Counsel,Pending_Hearing,2026-07-10,2026-08-31,,,,,False,Not_Applicable,Hypertension (Level 1),Low
UTP-2026-0007,MAMU01-604740-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Barrack-04 (General),100,157,157.0,True,0.7,Male,25,Sec 303(2) BNS / 379 IPC,Theft,False,36.0,False,False,1,2026-06-19,0,64,1/3_first_timer,365.0,Ineligible_Under_Time,DLSA-MH-MUM,PBL-MH-044,Adv. Priyanka S. Raut,2026-06-23,Assigned,Not_Applied,2026-07-16,2026-09-25,,,,,False,Not_Applicable,,Low
UTP-2026-0008,MAMU01-185965-2026,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Barrack-04 (General),100,168,168.0,True,0.79,Male,57,Sec 318(2) BNS / 420 IPC,Cheating & Dishonesty,True,36.0,False,False,1,2025-04-22,120,367,1/3_first_timer,365.0,Eligible,DLSA-MH-MUM,PBL-MH-042,Adv. Ramesh V. Kulkarni,2026-08-10,Assigned,Application_Drafted,2026-07-22,2026-09-30,,,,,False,Pre_Draft_Generated,Chronic Kidney Disease (Requires Dialysis / Level 3),Low
UTP-2026-0009,MAMU01-212235-2024,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Ward-F (Female Barrack),60,99,165.0,True,0.73,Female,53,Sec 189(2) BNS / 147 IPC,Rioting / Unlawful Assembly,True,24.0,False,False,1,2026-02-26,0,177,1/3_first_timer,243.0,Ineligible_Under_Time,DLSA-MH-MUM,,,,Unassigned,Hearing_Scheduled,2026-08-17,2026-08-30,,,,,False,Not_Applicable,,Low
UTP-2026-0010,MAMU01-934794-2023,PRIS-MH-01,Mumbai Central Prison (Arthur Road),Maharashtra,Mumbai City,804,1310,162.9,Overcrowded,High,506,0,Ward-F (Female Barrack),60,99,165.0,True,0.7,Female,38,Sec 303(2) BNS / 379 IPC,Theft,True,36.0,False,False,1,2026-05-28,0,86,1/3_first_timer,365.0,Ineligible_Under_Time,DLSA-MH-MUM,PBL-MH-042,Adv. Ramesh V. Kulkarni,2026-07-23,Assigned,Pending_Hearing,2026-08-09,2026-09-20,,,,,False,Not_Applicable,,Low
